"Species","Type","Dead.Code","X","Y","Diam10","Height","DBH","Crown.Radius","Growth","timestep","Treatment","Unit","PlotNumber","Class","C_tree","C_unit"
"Cw","Snag","Alive",326.784,310.802,NA,11.2446040364007,6.62805,NA,NA,3,"HR","B2",17,1,0.00712072816932561,0.476049695230152
"Hw","Snag","Alive",492.579,315.196,NA,11.2446040364007,17.7023,NA,NA,3,"HR","B2",19,1,0.0410702201231552,0.476049695230152
"Hw","Snag","Alive",584.592,312.178,NA,11.2446040364007,10.1006,NA,NA,3,"HR","B2",20,1,0.0134194249096853,0.476049695230152
"Hw","Snag","Alive",403.938,396.502,NA,11.2446040364007,16.5475,NA,NA,3,"HR","B2",22,1,0.0358952437419899,0.476049695230152
"Hw","Snag","Alive",497.114,478.353,NA,11.2446040364007,13.5964,NA,NA,3,"HR","B2",27,1,0.0242582405938125,0.476049695230152
"Hw","Snag","Alive",151.722,139.256,NA,11.2446040364007,5.31008,NA,NA,4,"HR","B2",3,1,0.0037395303852831,0.489391926101815
"Hw","Snag","Alive",318.112,140.244,NA,11.2446040364007,7.75343,NA,NA,4,"HR","B2",5,1,0.00793022565680003,0.489391926101815
"Cw","Snag","Alive",318.055,146.605,NA,11.2446040364007,5.57621,NA,NA,4,"HR","B2",5,1,0.00551200720882604,0.489391926101815
"Hw","Snag","Alive",575.52,134.843,NA,11.2446040364007,6.15824,NA,NA,4,"HR","B2",8,1,0.00501824589501329,0.489391926101815
"Cw","Snag","Alive",61.0373,222.963,NA,11.2446040364007,5.01827,NA,NA,4,"HR","B2",9,1,0.00471900687844775,0.489391926101815
"Hw","Snag","Alive",60.9146,222.642,NA,11.2446040364007,6.36828,NA,NA,4,"HR","B2",9,1,0.00536381990508708,0.489391926101815
"Hw","Snag","Alive",237.837,222.748,NA,11.2446040364007,5.16912,NA,NA,4,"HR","B2",11,1,0.00354514984396871,0.489391926101815
"Ep","Snag","Alive",235.333,229.196,NA,24.7814570757145,34.7693,NA,NA,4,"HR","B2",11,1,0.331800082790421,0.489391926101815
